play_time,train_time,write_to_file,total_time
30.390586137771606,0.6078117227554322,0.5035684013366699,50,0
31.7715106010437,0.635430212020874,0.5460629463195801,50,1
28.132144927978516,0.5626428985595703,0.48100603580474854,50,2
30.30362296104431,0.6060525226593018,0.5141804742813111,50,3
120.63373732566833,17.88258194923401,0.28821516036987305,138.80453443527222
29.0538547039032,0.581077094078064,0.5041515731811523,50,4
31.285847902297974,0.6257169580459595,0.5271364784240723,50,0
27.884437799453735,0.5576887559890747,0.48222830772399905,50,1
26.198603630065918,0.5239720726013184,0.45091679096221926,50,2
25.64775824546814,0.5129551649093628,0.43044534683227537,50,3
29.623523235321045,0.592470464706421,0.5036612749099731,50,4
27.561299324035645,0.5512259864807129,0.4717419958114624,50,5
29.516916036605835,0.5903383207321167,0.49860372066497805,50,6
26.547394275665283,0.5309478855133056,0.44258330821990965,50,7
26.653035402297974,0.5330607080459595,0.4376685333251953,50,8
25.68414807319641,0.5136829614639282,0.4208281087875366,50,9
22.890974283218384,0.4578194856643677,0.3594376087188721,50,10
24.789783477783203,0.49579566955566406,0.39152764320373534,50,11
24.63785147666931,0.49275702953338624,0.38275062561035156,50,12
22.302897214889526,0.44605794429779055,0.3326632022857666,50,13
23.55739426612854,0.4711478853225708,0.35237689018249513,50,14
22.22131657600403,0.44442633152008054,0.33456921577453613,50,15
25.006505966186523,0.5001301193237304,0.372435941696167,50,16
21.116195678710938,0.4223239135742187,0.2997741603851318,50,17
20.504490613937378,0.4100898122787476,0.2928110361099243,50,18
20.339679718017578,0.40679359436035156,0.2760253238677979,50,19
19.931058645248413,0.39862117290496824,0.26624268531799317,50,20
19.989129781723022,0.39978259563446045,0.2461845302581787,50,21
19.392728090286255,0.3878545618057251,0.26256120681762696,50,22
21.450934171676636,0.4290186834335327,0.2844537115097046,50,23
21.136605501174927,0.42273211002349853,0.2619358587265015,50,24
23.536405563354492,0.47072811126708985,0.3089435005187988,50,25
20.3818461894989,0.407636923789978,0.29292013727385424,50,26
24.885945320129395,0.49771890640258787,0.29803955078125,50,27
24.90402126312256,0.49808042526245117,0.34771955966949464,50,28
19.831134796142578,0.39662269592285154,0.2834904050827026,50,29
719.615875005722,54.84392023086548,0.23762035369873047,774.6984090805054
27.611165523529053,0.552223310470581,0.4797584056854248,50,30
29.20566749572754,0.5840933847427369,0.5077680683135987,50,31
28.82677912712097,0.5765153455734253,0.49769275188446044,50,32
26.25003147125244,0.5250006294250489,0.4445012950897217,50,33
26.88517117500305,0.5377034235000611,0.4256365203857422,50,34
25.344826698303223,0.5068965339660645,0.41314866065979006,50,35
27.20216202735901,0.5440432405471802,0.43638307094573975,50,36
