total_time,treesearch,rollout,M,counter
127.19398403167725,1.6959186458587647,1.6480680020650227,75,0
122.94553089141846,1.6392726357777914,1.592462224960327,75,0
121.15921115875244,1.615455099741618,1.579376262029012,75,1
126.42795920372009,1.6857049942016602,1.6321207110087077,75,1
129.3670449256897,1.7248927211761476,1.6874390125274659,75,2
118.18813800811768,1.5758407974243165,1.5409332561492919,75,2
118.21415114402771,1.5761875693003338,1.5397169621785483,75,3
124.61232471466064,1.6614965883890789,1.625398619969686,75,3
121.65284204483032,1.6220367844899495,1.5846657911936441,75,4
114.55782771110535,1.5274367459615072,1.4912919171651204,75,4
118.5339150428772,1.5804511483510335,1.5407961400349934,75,5
117.35571384429932,1.5647418975830079,1.5289527861277263,75,5
107.27218890190125,1.430294672648112,1.389291343688965,75,6
115.83546614646912,1.5444717597961426,1.5042407194773355,75,6
103.10528683662415,1.37473619778951,1.3347035280863444,75,7
100.5460159778595,1.3406126848856608,1.3018036142985026,75,7
102.6216049194336,1.36828719774882,1.3296079858144125,75,8
109.83551573753357,1.464472541809082,1.4241370741526287,75,8
104.96896481513977,1.3995852184295654,1.3589940357208252,75,9
109.78851413726807,1.463845739364624,1.4160127766927084,75,9
105.57481598854065,1.407663091023763,1.361761843363444,75,10
106.46023082733154,1.4194686444600424,1.3737693881988526,75,10
96.5343370437622,1.2871233717600505,1.2414361572265624,75,11
97.81195592880249,1.3041584237416586,1.2573890050252279,75,11
99.51166009902954,1.3268210983276367,1.2810409800211588,75,12
98.46063280105591,1.3128073342641196,1.2649638334910074,75,12
93.02647304534912,1.2403518613179525,1.1930561065673828,75,13
99.96423125267029,1.3328550910949708,1.2786295827229817,75,13
86.39154076576233,1.151886246999105,1.1033042780558269,75,14
97.37738490104675,1.2983642196655274,1.2368455505371094,75,14
92.33979630470276,1.231196190516154,1.1766830762227376,75,15
92.27775430679321,1.2303690656026205,1.1722236283620198,75,15
88.0035240650177,1.1733793195088704,1.114465554555257,75,16
93.94451785087585,1.25259246190389,1.1778582127888997,75,16
89.54459071159363,1.193926773071289,1.1358561992645264,75,17
97.56884574890137,1.3009167575836182,1.212977927525838,75,17
91.49593305587769,1.219944766362508,1.1561683146158854,75,18
93.25778794288635,1.2434360885620117,1.1525515429178874,75,18
76.42337989807129,1.018977715174357,0.9676868216196696,75,19
81.52188897132874,1.0869578742980956,1.020413096745809,75,19
75.26592993736267,1.0035450140635171,0.9397686036427816,75,20
73.57637095451355,0.981017583211263,0.9065801080067952,75,20
73.30121397972107,0.9773488680521647,0.9128829161326091,75,21
70.62688779830933,0.94169114112854,0.8660463619232178,75,21
40.30762195587158,0.5374342505137125,0.7734579786341241,75,22
68.19399619102478,0.9092523447672526,0.8314154720306397,75,22
64.21880602836609,0.8562499777475993,0.7429712073008219,75,23
63.50994110107422,0.8467985153198242,0.7676417764027913,75,23
18.262486219406128,0.24349908510843912,0.6639479398727417,75,24
57.573294162750244,0.7676432037353516,0.6869766807556152,75,24
6.669663906097412,0.08892804781595866,0.6429498493671417,75,25
57.368945837020874,0.7649184226989746,0.6851008892059326,75,25
4.9623589515686035,0.06616330782572429,0.5729699929555258,75,26
45.46958589553833,0.6062604268391927,0.5299486796061198,75,26
3.585556983947754,0.04780671755472819,0.40878663063049314,75,27
16.74752688407898,0.22329953829447427,0.293163925409317,75,27
2.371415853500366,0.03161796887715657,0.20978951454162598,75,28
11.379202127456665,0.15172182401021322,0.26836465023182055,75,28
47.97537803649902,0.639671090443929,0.142283353805542,75,29
11.152154207229614,0.14869455337524415,0.2582391544624611,75,29
45.62440299987793,0.6083247311909994,0.13275206883748372,75,30
5.538427829742432,0.07384491602579753,0.28036814076559885,75,30
53.3183479309082,0.7109106063842774,0.24308329582214355,75,31
4.684880971908569,0.06246415138244629,0.28509859605269,75,31
45.75023603439331,0.610002539952596,0.17556995073954265,75,32
4.522942066192627,0.0603050963083903,0.2977940320968628,75,32
42.12822484970093,0.5617090479532878,0.15943739573160806,75,33
3.674470901489258,0.04899202664693197,0.2386094464196099,75,33
41.34868931770325,0.551315336227417,0.1711747105916341,75,34
3.451120138168335,0.046014048258463544,0.23921054601669312,75,34
45.16563081741333,0.6022078355153402,0.2455734380086263,75,35
3.003948926925659,0.040051809946695965,0.1825389862060547,75,35
58.53905701637268,0.7805199400583903,0.419054209391276,75,36
4.241520881652832,0.05655280749003092,0.26426875591278076,75,36
45.371386766433716,0.6049511750539144,0.29243173599243166,75,37
2.8798229694366455,0.038396660486857095,0.18909658704485213,75,37
53.7051362991333,0.7160678958892822,0.41972418149312335,75,38
2.6793107986450195,0.035723333358764646,0.1917271614074707,75,38
47.74119186401367,0.6365484460194906,0.3791473070780436,75,39
9.261932134628296,0.12349158604939779,0.19777064853244358,75,39
1.941209077835083,0.025881878534952798,0.09733295440673828,75,40
4.963951826095581,0.06618505477905273,0.1739631782878529,75,40
65.92074823379517,0.8789425913492839,0.5936931133270263,75,41
4.3419647216796875,0.05789200782775879,0.14505894978841147,75,41
82.04386115074158,1.0939174779256184,0.7937131754557292,75,42
2.3421008586883545,0.031227238972981772,0.14113990465799967,75,42
76.80370211601257,1.0240487670898437,0.7659092775980632,75,43
3.3344790935516357,0.04445896784464518,0.06597379275730678,75,43
1.5286660194396973,0.020381329854329427,0.011607885360717773,75,44
138.29353880882263,1.8439125728607177,1.7968685817718506,75,0
145.31297993659973,1.9375051244099935,1.8867611980438233,75,0
145.88964009284973,1.9451938247680665,1.894200948079427,75,0
132.31701707839966,1.764225772221883,1.7137015755971272,75,0
